experiment_time_s,latitude,longitude,height_m,speed_m_s,horizontal_accuracy_m
366.515,37.52449986,127.01540630,16.40,2.567,12.80
367.515,37.52451576,127.01540630,16.08,2.275,13.59
368.515,37.52453031,127.01539920,15.96,1.894,14.28
369.515,37.52456488,127.01537770,16.12,2.103,15.36
370.515,37.52459333,127.01535300,16.04,2.378,16.10
371.515,37.52460821,127.01532550,15.76,2.301,16.52
372.515,37.52462580,127.01530760,15.68,2.322,16.78
373.515,37.52463810,127.01528990,15.45,2.133,16.79
374.515,37.52465199,127.01527790,15.17,1.876,17.43
375.515,37.52466299,127.01527240,15.21,1.591,17.59
376.515,37.52468237,127.01525680,15.36,1.816,17.94
377.515,37.52469539,127.01524510,14.90,1.734,18.14
378.515,37.52471440,127.01523680,14.85,1.755,18.34
379.515,37.52472766,127.01523520,14.74,1.783,18.17
380.515,37.52473956,127.01523470,14.53,1.823,18.28
381.515,37.52475229,127.01523470,14.26,1.748,18.68
382.515,37.52479137,127.01523470,14.11,2.138,19.55
383.515,37.52481906,127.01523830,13.90,2.424,19.56
384.515,37.52485115,127.01524050,13.92,2.933,19.10
385.515,37.52487471,127.01525040,13.62,3.093,18.58
386.515,37.52490112,127.01527040,13.60,3.151,18.05
387.515,37.52492581,127.01529540,13.27,3.267,17.55
388.515,37.52495252,127.01532290,12.91,3.355,17.07
389.515,37.52498335,127.01534470,12.87,3.360,16.62
390.515,37.52502937,127.01537160,13.73,3.736,16.18
391.515,37.52507272,127.01540330,14.01,4.305,15.78
392.515,37.52509831,127.01543350,13.96,4.250,15.39
393.515,37.52513213,127.01545690,13.52,3.967,15.02
394.515,37.52518208,127.01548740,13.81,4.235,14.67
395.515,37.52522044,127.01552090,14.07,4.310,14.33
396.515,37.52525314,127.01556170,14.02,4.375,14.02
397.515,37.52528676,127.01559280,14.18,4.279,13.72
398.515,37.52531998,127.01562630,14.14,4.301,13.43
399.515,37.52534995,127.01566010,14.11,4.281,13.16
400.515,37.52538496,127.01569380,14.42,4.280,12.90
401.515,37.52541432,127.01572680,14.79,4.311,12.66
402.515,37.52544466,127.01576020,14.70,4.310,12.42
403.515,37.52547800,127.01579210,14.44,4.291,12.20
404.515,37.52551022,127.01582830,14.53,4.416,11.99
405.515,37.52554156,127.01586520,14.69,4.440,11.79
406.515,37.52557028,127.01590510,14.96,4.450,11.60
407.515,37.52560142,127.01594140,15.53,4.425,11.42
408.515,37.52562981,127.01597770,15.66,4.425,11.25
409.515,37.52565961,127.01601270,15.88,4.459,11.09
410.515,37.52568939,127.01604630,16.07,4.471,10.93
411.515,37.52571569,127.01607770,16.42,4.138,10.79
412.515,37.52574329,127.01611370,16.08,4.149,10.65
413.515,37.52577183,127.01614880,16.44,4.524,10.52
414.515,37.52580010,127.01618250,16.74,4.445,10.39
415.515,37.52582742,127.01621570,16.95,4.325,10.27
416.515,37.52585378,127.01624950,17.05,4.259,10.16
417.515,37.52588101,127.01628050,16.88,4.194,10.05
418.515,37.52590729,127.01631490,17.33,4.321,9.95
419.515,37.52593218,127.01634270,16.47,3.997,9.85
420.515,37.52595711,127.01637470,16.11,3.908,9.76
421.515,37.52598678,127.01640870,15.83,4.127,9.67
422.515,37.52601845,127.01643380,15.82,4.169,9.59
423.515,37.52604428,127.01647360,16.39,4.157,9.51
424.515,37.52607499,127.01650450,16.24,4.223,9.43
425.515,37.52610297,127.01654030,16.09,4.299,9.36
426.515,37.52612814,127.01657740,16.62,4.327,9.29
427.515,37.52615631,127.01661070,16.63,4.292,9.23
428.515,37.52618412,127.01664680,16.57,4.340,9.17
429.515,37.52621115,127.01668120,16.39,4.294,9.11
430.515,37.52624073,127.01671610,16.77,4.378,9.05
431.515,37.52625560,127.01675420,18.61,3.977,9.00
432.515,37.52629305,127.01678150,18.06,4.217,8.95
433.515,37.52632320,127.01681480,17.89,4.315,8.90
434.515,37.52634911,127.01685020,17.82,4.241,8.86
435.515,37.52637835,127.01688390,17.82,4.296,8.81
436.515,37.52640513,127.01691600,17.80,4.199,8.77
437.515,37.52643234,127.01694810,17.61,4.154,8.73
438.515,37.52645703,127.01697890,17.42,3.963,8.70
439.515,37.52648728,127.01701010,17.52,4.149,8.66
440.515,37.52651934,127.01704090,18.00,4.380,8.63
441.515,37.52653764,127.01707050,17.66,3.886,8.60
442.515,37.52656110,127.01710160,17.44,3.794,8.57
443.515,37.52658681,127.01713030,17.45,3.795,8.54
444.515,37.52660766,127.01716290,17.36,3.736,8.51
445.515,37.52662808,127.01719440,17.40,3.636,8.49
446.515,37.52664831,127.01722740,17.36,3.655,8.46
447.515,37.52665667,127.01726360,17.05,3.388,8.44
448.515,37.52665667,127.01729780,17.96,3.121,8.42
449.515,37.52665667,127.01732630,17.76,2.707,8.40
450.515,37.52665506,127.01734680,18.66,2.113,8.38
451.515,37.52663340,127.01737330,18.42,2.391,8.36
452.515,37.52663340,127.01739530,17.44,2.275,8.34
453.515,37.52663340,127.01741650,17.81,1.801,8.32
454.515,37.52664389,127.01743550,17.97,1.803,8.31
455.515,37.52666244,127.01743550,17.95,1.754,8.29
456.515,37.52668325,127.01743550,18.30,1.749,8.28
457.515,37.52669426,127.01742470,18.34,1.044,8.26
458.515,37.52669426,127.01739070,16.96,2.130,8.25
459.515,37.52669426,127.01737380,16.65,1.373,8.24
